Indicators,BNC,BPH,BUH,CAPITALBK,SOGEBK,UNIBNK,SOGEBL,CBNA,TOTAL,Parts1_fr,Parts2_fr,Parts1_en,Parts2_en,Date,Indicators_en,SCOTIA,BICH,PROMOBK,SOCABK,SOCABL,BHD ,BHD *
depenses d'interet,118567,15424.353120000002,95479.38884,83351,226317.31806000005,185502.6552,56293.330650000025,444,781379.0458700001,Revenus nets d'interet,Depenses d'interet,Net interest income,Interest expenses,2018-09-01,Interest expenses,,,,,,,
commissions,157875,5721.36539,49804.62436,174703,387011.77634,408812.84034,4310.78129,26134,1214373.3877200002,Autres revenus,Autres revenus,Other income,Other income,2018-09-01,Commission banking fees,,,,,,,
gains sur change,85198,5325.5219099999995,70173.86906,46398,127740.47886,191183.18617,4884.22831,46412,577315.28431,Autres revenus,Autres revenus,Other income,Other income,2018-09-01,Foreign exchange gains,,,,,,,
autres,43115,9522.27608,36953.016879999996,51309,268782.20821469545,272173.75614,15673.51753,3,697531.7748446955,Autres revenus,Autres revenus,Other income,Other income,2018-09-01,Other,,,,,,,
produit net bancaire,1040139,46142.61988,419496.68698999996,562891,1447635.5874946953,1586802.75936,109047.10858999996,93532,5305686.762314696,Produit net bancaire,Produit net bancaire,Net banking income,Net banking income,2018-09-01,Net banking income,,,,,,,
dotation a la provision pour creances douteuses,70000,8248.27264,39392.198169999996,14740,126193.16515999998,8384,-25171.825339999996,0,241785.81062999996,Dotation a la provision pour creances douteuses,Dotation a la provision pour creances douteuses,Allowance for bad debts,Allowance for bad debts,2018-09-01,Allowance for bad debts,,,,,,,
et impots sur le revenu,970139,37894.34724,380104.48881999997,548151,1321442.4223346952,1578418.75936,134218.93392999994,93532,5063900.951684696,Et impots sur le revenu,Et impots sur le revenu,Earnings before operating expenses and income tax,Earnings before operating expenses and income tax,2018-09-01,Earnings before operating expenses and income tax,,,,,,,
salaires et avantages sociaux,404411,23165.002809999998,98032.15834,129498,418534.0415700001,374223.71073,21452.076419999998,25009,1494324.98987,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2018-09-01,Salaries and benefits,,,,,,,
frais de locaux,25893,3534.40893,45551.71605,43347,38100.3937,48135.19537,9854.58336,5769,220185.29741,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2018-09-01,Premises expenses,,,,,,,
amortissement,29177,1966.15273,17600.010909999997,21375,63375.295909999986,92359.98084,1632.2698599999999,4995,232480.71024999997,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2018-09-01,Amortization,,,,,,,
autres depenses d'exploitation,186469,7406.68239,77870.97344999999,182818,429780.62982000003,486010.17916000006,9184.320489999998,36265,1415804.7853100002,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2018-09-01,Other operating expenses,,,,,,,
benefice avant impots sur le revenu,324189,1822.1003800000035,141049.63006999996,171113,371652.0613346951,577689.69326,92095.68379999994,21494,1701105.1688446957,Benefice avant impots sur le revenu,Benefice avant impots sur le revenu,Profit before income tax,Profit before income tax,2018-09-01,Profit before income tax,,,,,,,
impots sur le revenu,0,0,42314.88902099999,34212,42300,-134923.313,24865.83463,6677,15446.410650999987,Impots sur le revenu,Impots sur le revenu,Income taxes,Income taxes,2018-09-01,Income taxes,,,,,,,
benefice net (perte nette),324189,1822.1003800000035,98734.74104899997,136901,329352.0613346951,712613.0062599999,67229.84916999994,14817,1685658.7581936957,Benefice net (perte nette),Benefice net (perte nette),Net profit (loss),Net profit (loss),2018-09-01,Net profit (loss),,,,,,,
prets,337982,20605.8068,277162.84130000003,295840,624673.02764,721459.5455400001,109832.36881000004,17802,2405357.59009,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2017-09-01,Loans,,,,,,,
interets sur bons b.r.h.,234009,8861.857610000001,8177.795609999999,4332,18219.118140000006,21885.96759,0,1945,297430.73895,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2017-09-01,Interest on central bank bills,,,,,,,
autres,114403,11746.60406,4926.785,8323,95886.64139,91925.36491999999,17481.64304999999,4469,349162.03842,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2017-09-01,Other,,,,,,,
depenses d'interet,79842,15525.99645,85146.05061,65229,182043.72885999997,233520.7895,43438.64948000001,420,705166.2149,Revenus nets d'interet,Depenses d'interet,Net interest income,Interest expenses,2017-09-01,Interest expenses,,,,,,,
commissions,144460,4596.04356,43590.261739999994,157035,352168.9504699999,429259.48239,7303.21345,30599,1169011.9516099999,Autres revenus,Autres revenus,Other income,Other income,2017-09-01,Commission banking fees,,,,,,,
gains sur change,80668,4145.72216,23521.47896999999,48695,131890.94116000002,224349.58917999998,6251.37268,31943,551465.10415,Autres revenus,Autres revenus,Other income,Other income,2017-09-01,Foreign exchange gains,,,,,,,
autres,18697,7917.3110400000005,36756.07358379999,15962,128860.322080138,-454759.95088,12973.41026,5056,-228537.83391606202,Autres revenus,Autres revenus,Other income,Other income,2017-09-01,Other,,,,,,,
produit net bancaire,850377,42347.34878,308989.1855937999,464958,1169655.2720201379,800599.20924,110403.35877000002,91394,3838723.374403938,Produit net bancaire,Produit net bancaire,Net banking income,Net banking income,2017-09-01,Net banking income,,,,,,,
dotation a la provision pour creances douteuses,105000,7684.287130000001,8776.374340000002,9975,80276.66678,0,4067.7438700000002,0,215780.07212,Dotation a la provision pour creances douteuses,Dotation a la provision pour creances douteuses,Allowance for bad debts,Allowance for bad debts,2017-09-01,Allowance for bad debts,,,,,,,
et impots sur le revenu,745377,34663.06165,300212.81125379994,454983,1089378.6052401378,800599.20924,106335.61490000002,91394,3622943.302283938,Et impots sur le revenu,Et impots sur le revenu,Earnings before operating expenses and income tax,Earnings before operating expenses and income tax,2017-09-01,Earnings before operating expenses and income tax,,,,,,,
salaires et avantages sociaux,284300,20279.80898,85732.2523717,113347,300423.99505,367275.68196,18318.06222,25476,1215152.8005817,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2017-09-01,Salaries and benefits,,,,,,,
frais de locaux,23062,3043.6361,33930.735029999996,39744,35813.743239999996,48700.60943,10399.78468,4567,199261.50848,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2017-09-01,Premises expenses,,,,,,,
amortissement,30055,2164.7308,15841.147549999989,16132,62306.7019,81019.42981,2987.90299,5722,216228.91305,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2017-09-01,Amortization,,,,,,,
autres depenses d'exploitation,131284,14444.81654,102868.26611,163983,426810.971,397611.86693,15232.53774,36428,1288663.4583200002,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2017-09-01,Other operating expenses,,,,,,,
benefice avant impots sur le revenu,276676,-5269.930769999999,61840.41019209995,121777,264023.19405013777,-94008.37889000005,59397.327270000016,19201,703636.6218522377,Benefice avant impots sur le revenu,Benefice avant impots sur le revenu,Profit before income tax,Profit before income tax,2017-09-01,Profit before income tax,,,,,,,
impots sur le revenu,0,0,18552.123057629997,18307,58000,-264629.13932,16037.278360000004,5965,-147767.73790237002,Impots sur le revenu,Impots sur le revenu,Income taxes,Income taxes,2017-09-01,Income taxes,,,,,,,
benefice net (perte nette),276676,-5269.930769999999,43288.28713446995,103470,206023.19405013777,170620.76042999997,43360.04891000001,13236,851404.3597546078,Benefice net (perte nette),Benefice net (perte nette),Net profit (loss),Net profit (loss),2017-09-01,Net profit (loss),,,,,,,
prets,340123.2148299999,31495.56244,209073.75906,269519,618013.2064400001,697415.14148,118761.46765999997,27120,2384512.35191,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2016-09-01,Loans,72991,,,,,,
interets sur bons b.r.h.,272445.01862,15649.96815,0,15379,18530.354670000004,936,0,13708,336648.34144,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2016-09-01,Interest on central bank bills,0,,,,,,
autres,82856.70529000001,3111.5400799999998,4955.84031,7435,106624.18932,50233.04267,34042.17644000001,683,292262.49411,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2016-09-01,Other,2321,,,,,,
depenses d'interet,63353.398830000006,16731.07194,61434.012330000005,81024,204431.21945000006,277621.68782999995,68551.84375,16968,797688.23413,Revenus nets d'interet,Depenses d'interet,Net interest income,Interest expenses,2016-09-01,Interest expenses,7573,,,,,,
commissions,154208.45006000003,10905.359180000001,36176.7737,142362,317551.3519100001,425007.96255999996,7553.59252,13608,1138883.48993,Autres revenus,Autres revenus,Other income,Other income,2016-09-01,Commission banking fees,31510,,,,,,
gains sur change,26720.013689999985,3453.34007,12569.94917000025,26694,79600.37534,50074.04981,4322.93229,20055,233707.66037000023,Autres revenus,Autres revenus,Other income,Other income,2016-09-01,Foreign exchange gains,10218,,,,,,
autres,20352.115490000007,4706.39796,51116.8905,9736,165849.43459,677678.0200199999,837.82474,228,930819.6832999999,Autres revenus,Autres revenus,Other income,Other income,2016-09-01,Other,315,,,,,,
produit net bancaire,833352.1191499999,52591.09594,252459.20041000025,390101,1101737.69282,1623722.5287099998,96966.14989999997,58434,4519145.78693,Produit net bancaire,Produit net bancaire,Net banking income,Net banking income,2016-09-01,Net banking income,109782,,,,,,
dotation a la provision pour creances douteuses,75000,5015.51483,-4370.177204114001,8334,12140.617629999979,-90252.5,-16709.3671,0,-20914.51184411403,Dotation a la provision pour creances douteuses,Dotation a la provision pour creances douteuses,Allowance for bad debts,Allowance for bad debts,2016-09-01,Allowance for bad debts,-10072.6,,,,,,
et impots sur le revenu,758352.1191499999,47575.58111,256829.37761411426,381767,1089597.07519,1713975.0287099998,113675.51699999998,58434,4540060.298774115,Et impots sur le revenu,Et impots sur le revenu,Earnings before operating expenses and income tax,Earnings before operating expenses and income tax,2016-09-01,Earnings before operating expenses and income tax,119854.6,,,,,,
salaires et avantages sociaux,411251.25811000005,32312.61679,81219.461185472,100915,301154.32200000004,328617.70741000003,18567.47073,24121,1317843.8362254722,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2016-09-01,Salaries and benefits,19685,,,,,,
frais de locaux,22768.35379,4286.87756,31634.125959192002,37618,33259.87859,32593.76835,25071.420570000002,5636,200069.42481919203,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2016-09-01,Premises expenses,7201,,,,,,
amortissement,23099.75391,1620.39304,11913.917679999999,16357,38840.83595999998,62559.945810000005,2370.38265,5100,163485.22905,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2016-09-01,Amortization,1623,,,,,,
autres depenses d'exploitation,107136.07938000001,18610.644500000002,85582.884329,140757,397476.00801,190373.92721999998,13680.11321,19875,1033934.6566489999,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2016-09-01,Other operating expenses,60443,,,,,,
benefice avant impots sur le revenu,194096.6739599998,-9254.950780000006,46478.98846045026,86120,318866.03062999994,1099829.6799199996,53986.12983999998,3702,1824727.1520304508,Benefice avant impots sur le revenu,Benefice avant impots sur le revenu,Profit before income tax,Profit before income tax,2016-09-01,Profit before income tax,30902.600000000006,,,,,,
impots sur le revenu,0,0,13943.696538135075,17224,72600,-10392.094509999995,14576.255060000003,1162,118384.63708813509,Impots sur le revenu,Impots sur le revenu,Income taxes,Income taxes,2016-09-01,Income taxes,9270.779999999999,,,,,,
benefice net (perte nette),194096.6739599998,-9254.950780000006,32535.291922315184,68896,246266.03062999994,1110221.7744299995,39409.87477999998,2540,1706342.5149423156,Benefice net (perte nette),Benefice net (perte nette),Net profit (loss),Net profit (loss),2016-09-01,Net profit (loss),21631.820000000007,,,,,,
prets,218076.92975999997,25934.64548,72251.40114999999,180436,359857.13197,471376.64862,69161.95209,33688,1477519.70907,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2014-12-01,Loans,46737,,,,,,
interets sur bons b.r.h.,45895.91975,2340.82177,2800.02857,6974,24916.868690000003,1902,0,7508,92337.63878000001,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2014-12-01,Interest on central bank bills,0,,,,,,
autres,85732.53676,805.6697899999999,117.145235432,5085,63264.27348,26487.89823,10129.65929,84,192171.182785432,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2014-12-01,Other,465,,,,,,
depenses d'interet,22417.47796,3843.94223,9257.774949999999,18451,70347.60731,60857.864279999994,27124.07567,5470,218079.7424,Revenus nets d'interet,Depenses d'interet,Net interest income,Interest expenses,2014-12-01,Interest expenses,310,,,,,,
commissions,83769.66391,7978.23109,25371.921430000002,100544,228653.86205999998,212621.04478,7273.8763,12705,697013.59957,Autres revenus,Autres revenus,Other income,Other income,2014-12-01,Commission banking fees,18096,,,,,,
gains sur change,16188.303319999999,9436.23052,8947.73184,24105,63506.640929999994,73268.27791,5225.33381,40214,249143.51833000002,Autres revenus,Autres revenus,Other income,Other income,2014-12-01,Foreign exchange gains,8252,,,,,,
autres,15537.17414,1193.67922,8097.07821,3141,85196.71307999999,205909.57328,489.48128999999994,22,320178.69922,Autres revenus,Autres revenus,Other income,Other income,2014-12-01,Other,592,,,,,,
produit net bancaire,442783.04968,43845.33563999999,108327.53148543199,301834,755047.8829,930707.57854,65156.22711000001,88751,2810284.6053554323,Produit net bancaire,Produit net bancaire,Net banking income,Net banking income,2014-12-01,Net banking income,73832,,,,,,
dotation a la provision pour creances douteuses,0,11500.41428,3811.94206,11425,102622.75981,18007.301,2700,101,144566.41715,Dotation a la provision pour creances douteuses,Dotation a la provision pour creances douteuses,Allowance for bad debts,Allowance for bad debts,2014-12-01,Allowance for bad debts,-5602,,,,,,
et impots sur le revenu,442783.04968,32344.92135999999,104515.58942543199,290409,652425.12309,912700.27754,62456.22711000001,88650,2665718.188205432,Et impots sur le revenu,Et impots sur le revenu,Earnings before operating expenses and income tax,Earnings before operating expenses and income tax,2014-12-01,Earnings before operating expenses and income tax,79434,,,,,,
salaires et avantages sociaux,145709.69511,19056.09821,43286.63074,72682,232265.14973999996,214622.43433000002,13550.577140000001,22095,781687.5852699999,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2014-12-01,Salaries and benefits,18420,,,,,,
frais de locaux,23555.66481,1528.02721,20123.97472,20991,21766.02389,23162.942890000002,6274.82015,2683,125381.45367,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2014-12-01,Premises expenses,5296,,,,,,
amortissement,18150.97599,1765.36456,5796.6174,12415,49783.78977999999,47770.35523,2505.91785,5831,145314.02081,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2014-12-01,Amortization,1295,,,,,,
autres depenses d'exploitation,75081.05991000001,11523.518199999999,21907.94069,92882,250803.66557999997,232672.22993,12654.64602,29087,747984.06033,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2014-12-01,Other operating expenses,21372,,,,,,
benefice avant impots sur le revenu,180285.65386000002,-1528.0868200000077,13400.425875431989,91439,97806.49410000013,394472.31516,27470.265950000008,28954,865351.0681254324,Benefice avant impots sur le revenu,Benefice avant impots sur le revenu,Profit before income tax,Profit before income tax,2014-12-01,Profit before income tax,33051,,,,,,
impots sur le revenu,0,0,0,18288,15170,52748.72184,7416.97181,9285,112823.99365,Impots sur le revenu,Impots sur le revenu,Income taxes,Income taxes,2014-12-01,Income taxes,9915.3,,,,,,
benefice net (perte nette),180285.65386000002,-1528.0868200000077,13400.425875431989,73151,82636.49410000013,341723.59332,20053.29414000001,19669,752527.0744754324,Benefice net (perte nette),Benefice net (perte nette),Net profit (loss),Net profit (loss),2014-12-01,Net profit (loss),23135.7,,,,,,
prets,195519.02844999998,34952.16605,59163.60066,146250,326951.3266699999,344731.78703999997,50478.07910999999,34865,1239658.98798,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2013-12-01,Loans,46748,,,,,,
interets sur bons b.r.h.,43480.81691,0,80.75,1920,3670.6570300000003,0,0,117,49269.22394,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2013-12-01,Interest on central bank bills,0,,,,,,
autres,51188.88692999999,100.10611999999999,81.9621034,948,54380.20631,13325.921040000001,7570.946099999999,161,128515.0286034,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2013-12-01,Other,758,,,,,,
depenses d'interet,19727.20205,2178.49497,2494.3072,10644,36334.19689,29207.84185,18492.11193,2930,122849.15488999999,Revenus nets d'interet,Depenses d'interet,Net interest income,Interest expenses,2013-12-01,Interest expenses,841,,,,,,
commissions,87336.13321,5268.52816,22713.38098,87484,194845.97616000002,173822.44110999999,5678.45205,16148,611777.91167,Autres revenus,Autres revenus,Other income,Other income,2013-12-01,Commission banking fees,18481,,,,,,
gains sur change,22498.85338,5165.51432,4504.12933,18296,38325.857050000006,80667.80608000001,2664.29309,31494,213228.45325000002,Autres revenus,Autres revenus,Other income,Other income,2013-12-01,Foreign exchange gains,9612,,,,,,
autres,13762.081559999999,568.15408,11595.589214144002,1357,80433.7549,163547.70474,1684.43296,34,267215.717454144,Autres revenus,Autres revenus,Other income,Other income,2013-12-01,Other,-5767,,,,,,
produit net bancaire,394058.59838999994,43875.97375999999,95645.105087544,245611,662273.5812299999,746887.8181599999,49584.09137999999,79889,2386816.1680075442,Produit net bancaire,Produit net bancaire,Net banking income,Net banking income,2013-12-01,Net banking income,68991,,,,,,
dotation a la provision pour creances douteuses,25263.93278,4124.07864,7042.18818,4936,77676.66572,12028.613389999999,2250,-16831,120190.17871,Dotation a la provision pour creances douteuses,Dotation a la provision pour creances douteuses,Allowance for bad debts,Allowance for bad debts,2013-12-01,Allowance for bad debts,3699.7,,,,,,
et impots sur le revenu,368794.66560999997,39751.895119999994,88602.916907544,240675,584596.9155099998,734859.20477,47334.09137999999,96720,2266625.989297544,Et impots sur le revenu,Et impots sur le revenu,Earnings before operating expenses and income tax,Earnings before operating expenses and income tax,2013-12-01,Earnings before operating expenses and income tax,65291.3,,,,,,
salaires et avantages sociaux,136252.80087,19221.12417,38672.52329,64399,207720.91163,183418.09772999998,12709.22114,22623,708864.67883,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2013-12-01,Salaries and benefits,23848,,,,,,
frais de locaux,14419.97059,1531.60849,12829.7541,19651,21317.774729999997,20593.86666,5353.0717,13874,114892.04626999999,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2013-12-01,Premises expenses,5321,,,,,,
amortissement,16278.63159,1564.3435399999998,6751.591409999999,10801,31251.08199,42312.188980000006,2746.85682,5973,118932.69433000001,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2013-12-01,Amortization,1254,,,,,,
autres depenses d'exploitation,81980.85616,10632.44399,22547.11765,74820,200786.69228999998,201511.10470000003,10959.85124,23599,655781.06603,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2013-12-01,Other operating expenses,28944,,,,,,
benefice avant impots sur le revenu,119862.40639999995,6802.374929999998,7801.930457544004,71004,123520.4548699999,287023.9467,15565.090479999988,30651,668155.5038375442,Benefice avant impots sur le revenu,Benefice avant impots sur le revenu,Profit before income tax,Profit before income tax,2013-12-01,Profit before income tax,5924.300000000003,,,,,,
impots sur le revenu,0,0,0,14201,22855,32654.618780000004,4202.57443,8681,84567.38321,Impots sur le revenu,Impots sur le revenu,Income taxes,Income taxes,2013-12-01,Income taxes,1973.1899999999998,,,,,,
benefice net (perte nette),119862.40639999995,6802.374929999998,7801.930457544004,56803,100665.4548699999,254369.32791999995,11362.516049999987,21970,583588.1206275442,Benefice net (perte nette),Benefice net (perte nette),Net profit (loss),Net profit (loss),2013-12-01,Net profit (loss),3951.1100000000033,,,,,,
prets,176780.64728,32427.489990000002,47505.00825,126996,264322.7105,275723.27604,46122.1939,29882,1061722.32596,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2012-12-01,Loans,61963,,,,,,
interets sur bons b.r.h.,7240.5827899999995,0,0,181,568.89528,26931.504399999998,0,614,36333.982469999995,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2012-12-01,Interest on central bank bills,798,,,,,,
autres,21005.31853,2061.52477,19.364829670000002,1390,88231.31513,9917.75613,8641.68113,190,132433.96051967,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2012-12-01,Other,977,,,,,,
depenses d'interet,9290.229500000001,1459.59386,2161.10632,7217,32731.58195,15449.48909,11986.118639999999,2273,83912.11936,Revenus nets d'interet,Depenses d'interet,Net interest income,Interest expenses,2012-12-01,Interest expenses,1344,,,,,,
commissions,87786.06923,6049.02453,11085.03772,76864,170785.66632999998,180998.1333,6308.52666,16237,568535.45777,Autres revenus,Autres revenus,Other income,Other income,2012-12-01,Commission banking fees,12422,,,,,,
gains sur change,14735.741600000001,2959.25723,2321.4470499999998,14815,58389.93970999999,57426.81517,3037.5325399999997,14651,176917.73329999996,Autres revenus,Autres revenus,Other income,Other income,2012-12-01,Foreign exchange gains,8581,,,,,,
autres,13520.226270000001,631.83887,15580.029441490002,3520,70835.66722,132886.64630000002,484.96873999999997,30,237271.37684149004,Autres revenus,Autres revenus,Other income,Other income,2012-12-01,Other,-218,,,,,,
produit net bancaire,311778.3562,42669.54153,74349.78097116,216549,620402.61222,668434.64225,52608.784329999995,59331,2129302.71750116,Produit net bancaire,Produit net bancaire,Net banking income,Net banking income,2012-12-01,Net banking income,83179,,,,,,
dotation a la provision pour creances douteuses,0,6150.404630000001,3501.38757,9941,76092.50985,12000,17072.15282,-5889,97854.75487,Dotation a la provision pour creances douteuses,Dotation a la provision pour creances douteuses,Allowance for bad debts,Allowance for bad debts,2012-12-01,Allowance for bad debts,-21013.7,,,,,,
et impots sur le revenu,311778.3562,36519.1369,70848.39340115999,206608,544310.10237,656434.64225,35536.63150999999,65220,2031447.9626311602,Et impots sur le revenu,Et impots sur le revenu,Earnings before operating expenses and income tax,Earnings before operating expenses and income tax,2012-12-01,Earnings before operating expenses and income tax,104192.7,,,,,,
salaires et avantages sociaux,135148.17872999999,17512.42713,25574.475350000004,57053,177163.84939,172331.38113,10819.843819999998,27060,638390.1555499999,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2012-12-01,Salaries and benefits,15727,,,,,,
frais de locaux,10318.19139,1213.19457,12059.52849,16542,18481.490449999998,20659.31559,3423.96868,4274,91500.68917,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2012-12-01,Premises expenses,4529,,,,,,
amortissement,15988.73403,1774.93942,5899.89164,9324,31021.89334000001,40565.16847,1780.1098299999999,4217,112371.73673,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2012-12-01,Amortization,1800,,,,,,
autres depenses d'exploitation,55804.72192,9878.08075,26782.0383,63399,197821.34832,176784.7631,10981.58119,18226,589733.53358,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2012-12-01,Other operating expenses,30056,,,,,,
benefice avant impots sur le revenu,94518.53013,6140.495029999998,532.4596211599855,60290,119821.52087000001,246094.01396,8531.127989999994,11443,599451.8476011602,Benefice avant impots sur le revenu,Benefice avant impots sur le revenu,Profit before income tax,Profit before income tax,2012-12-01,Profit before income tax,52080.7,,,,,,
impots sur le revenu,0,0,0,12058,23027.15466,33060.50322,2303.40456,2525,88598.27244,Impots sur le revenu,Impots sur le revenu,Income taxes,Income taxes,2012-12-01,Income taxes,15624.21,,,,,,
benefice net (perte nette),94518.53013,6140.495029999998,532.4596211599855,48232,96794.36621000001,213033.51074,6227.723429999994,8918,510853.5751611602,Benefice net (perte nette),Benefice net (perte nette),Net profit (loss),Net profit (loss),2012-12-01,Net profit (loss),36456.49,,,,,,
prets,209942.51937,20641.82989,86821.773,199242,384058.78741999995,538143.94052,82531.78293000002,34283,1610722.6331299997,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2015-03-01,Loans,55057,,,,,,
interets sur bons b.r.h.,77406.82561999999,2867.75875,1067.6040400000006,3690,25190.908359999998,7406.60116,0,9765,127394.69793,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2015-03-01,Interest on central bank bills,0,,,,,,
autres,121831.73444,754.2174600000001,1946.72299526,5823,68808.73725,24346.36357,11626.79766,-3,235998.57337526002,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2015-03-01,Other,864,,,,,,
depenses d'interet,40689.91236,5252.24771,11020.532510000001,21495,74693.18393,79466.71545,30925.15332,7964,272011.74528,Revenus nets d'interet,Depenses d'interet,Net interest income,Interest expenses,2015-03-01,Interest expenses,505,,,,,,
commissions,106227.38623,8660.0607,35122.527949999996,89331,225043.44111999997,239781.77237999998,4374.38048,10470,738888.56886,Autres revenus,Autres revenus,Other income,Other income,2015-03-01,Commission banking fees,19878,,,,,,
gains sur change,28270.277309999998,717.06925,20027.01507,39882,40628.439399999996,55335.02662,4288.4867,46749,243442.31435,Autres revenus,Autres revenus,Other income,Other income,2015-03-01,Foreign exchange gains,7545,,,,,,
autres,11607.66555,2279.47162,8401.524959999999,5110,97706.6636,222595.00164,570.78211,650,348980.10948,Autres revenus,Autres revenus,Other income,Other income,2015-03-01,Other,59,,,,,,
produit net bancaire,514596.49616000004,30668.159960000005,142366.63550526,321583,766743.7932199999,1008141.99044,72467.07656000002,93950,3033415.1518452596,Produit net bancaire,Produit net bancaire,Net banking income,Net banking income,2015-03-01,Net banking income,82898,,,,,,
dotation a la provision pour creances douteuses,40000,9050.275319999999,3149.2629799999995,7444,100890.91439999998,18318.586,4700,9720,188603.13869999998,Dotation a la provision pour creances douteuses,Dotation a la provision pour creances douteuses,Allowance for bad debts,Allowance for bad debts,2015-03-01,Allowance for bad debts,-4669.9,,,,,,
et impots sur le revenu,474596.49616000004,21617.884640000004,139217.37252526,314139,665852.8788199999,989823.40444,67767.07656000002,84230,2844812.0131452596,Et impots sur le revenu,Et impots sur le revenu,Earnings before operating expenses and income tax,Earnings before operating expenses and income tax,2015-03-01,Earnings before operating expenses and income tax,87567.9,,,,,,
salaires et avantages sociaux,209277.66398,19015.9113,47041.36363,71900,241287.94277999998,226830.92536,14224.7442,24289,875722.5512499999,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2015-03-01,Salaries and benefits,21855,,,,,,
frais de locaux,14997.27546,2054.45673,19916.919589999998,25426,21934.368579999995,23516.24079,6352.42277,2444,122034.68392,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2015-03-01,Premises expenses,5393,,,,,,
amortissement,19537.30098,1839.1655500000002,5552.87134,12094,42926.80153,49021.80821,1799.1061000000002,5559,139383.05371,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2015-03-01,Amortization,1053,,,,,,
autres depenses d'exploitation,56453.22966,7805.494859999999,26339.88308,91522,250805.41535,235216.57640000002,14582.495920000001,23832,744831.09527,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2015-03-01,Other operating expenses,38274,,,,,,
benefice avant impots sur le revenu,174331.02608000004,-9097.143799999994,40366.33488526,113197,108898.35057999985,455237.85367999994,30808.30757000002,28106,962840.6289952598,Benefice avant impots sur le revenu,Benefice avant impots sur le revenu,Profit before income tax,Profit before income tax,2015-03-01,Profit before income tax,20992.899999999994,,,,,,
impots sur le revenu,0,0,8951.306687805602,22639,19330,19297.289960000002,8318.243040000001,8396,93386.00968780559,Impots sur le revenu,Impots sur le revenu,Income taxes,Income taxes,2015-03-01,Income taxes,6454.17,,,,,,
benefice net (perte nette),174331.02608000004,-9097.143799999994,31415.0281974544,90558,89568.35057999985,435940.5637199999,22490.064530000018,19710,869454.6193074542,Benefice net (perte nette),Benefice net (perte nette),Net profit (loss),Net profit (loss),2015-03-01,Net profit (loss),14538.729999999994,,,,,,
