Indicators,BNC,BPH,BUH,CAPITALBK,SOGEBK,UNIBNK,SOGEBL,CBNA,TOTAL,Parts1_fr,Parts2_fr,Parts1_en,Parts2_en,Date,Indicators_en,SCOTIA,BICH,PROMOBK,SOCABK,SOCABL,BHD ,BHD *
autres depenses d'exploitation,134667,12343.77004,120788.60196999999,202059,325962.68397,435281.93318,16726.1518,45607,1293436.14096,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2020-06-01,Other operating expenses,,,,,,,
benefice avant impots sur le revenu,384787.30144000007,-26256.44793000001,135817.81379498634,343407,709126.1532421868,1089775.5662600005,28042.395839999946,41303,2706002.782647174,Benefice avant impots sur le revenu,Benefice avant impots sur le revenu,Profit before income tax,Profit before income tax,2020-06-01,Profit before income tax,,,,,,,
impots sur le revenu,0,0,40745.34413849589,35504,118250,104477.92824000001,7571.446880000001,12828,319376.7192584959,Impots sur le revenu,Impots sur le revenu,Income taxes,Income taxes,2020-06-01,Income taxes,,,,,,,
benefice net (perte nette),384787.30144000007,-26256.44793000001,95072.46965649046,307903,590876.1532421868,985297.6380200004,20470.948959999943,28475,2386626.063388678,Benefice net (perte nette),Benefice net (perte nette),Net profit (loss),Net profit (loss),2020-06-01,Net profit (loss),,,,,,,
prets,551785.00179,8732.88735,416516.98720999993,424464,943592.79217,754756.4796,128749.83338,15546,3244143.9815,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2021-06-01,Loans,,,,,,,
interets sur bons b.r.h.,4012,472.26374,0,721,149522.40659000003,1889.05595,0,0,156616.72628000003,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2021-06-01,Interest on central bank bills,,,,,,,
autres,509038,41383.395059999995,51487.740957592,14121,61588.9939,240655.47418999998,9658.439780000002,221,928154.043887592,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2021-06-01,Other,,,,,,,
depenses d'interet,91016,12409.379599999998,120238.88994381226,89652,187030.07917000004,182348.10958,40177.64747,615,723487.1057638123,Revenus nets d'interet,Depenses d'interet,Net interest income,Interest expenses,2021-06-01,Interest expenses,,,,,,,
commissions,208877,2950.7765600000002,105659.25139999994,195968,442619.46719,383723.68825,6381.486250000002,14761,1360940.66965,Autres revenus,Autres revenus,Other income,Other income,2021-06-01,Commission banking fees,,,,,,,
gains sur change,-7495,-48.26713999999998,8592.460020000406,132808,200237.84435999993,463659.15784,3080.745439999999,65296,866130.9405200003,Autres revenus,Autres revenus,Other income,Other income,2021-06-01,Foreign exchange gains,,,,,,,
autres,22562,4336.90785,51200.90825999997,164219,265212.8857199794,744498.84483,4831.06886,7543,1264404.6155199793,Autres revenus,Autres revenus,Other income,Other income,2021-06-01,Other,,,,,,,
produit net bancaire,1197763.0017900001,45418.58381999999,513218.45790378,842649,1875744.3107599795,2406834.5910799997,112523.92624000002,102752,7096903.871593759,Produit net bancaire,Produit net bancaire,Net banking income,Net banking income,2021-06-01,Net banking income,,,,,,,
dotation a la provision pour creances douteuses,0,12000,31794.417320000022,29189,253899.20207,44863.92,5000.00001,0,376746.5394,Dotation a la provision pour creances douteuses,Dotation a la provision pour creances douteuses,Allowance for bad debts,Allowance for bad debts,2021-06-01,Allowance for bad debts,,,,,,,
et impots sur le revenu,1197763.0017900001,33418.58381999999,481424.04058378,813460,1621845.1086899797,2361970.67108,107523.92623000001,102752,6720157.332193759,Et impots sur le revenu,Et impots sur le revenu,Earnings before operating expenses and income tax,Earnings before operating expenses and income tax,2021-06-01,Earnings before operating expenses and income tax,,,,,,,
salaires et avantages sociaux,534779,26979.7205,170707.90273,183043,457815.9165000001,555988.79511,33196.820239999994,30901,1993412.1550800002,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2021-06-01,Salaries and benefits,,,,,,,
frais de locaux,24548,6721.297329999999,63914.9045128608,65608,81856.85951,120254.46039,12353.780869999999,3358,378615.3026128608,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2021-06-01,Premises expenses,,,,,,,
amortissement,39496,3909.45495,30458.18888999999,22637,74514.69136999999,113320.34562000001,4971.716030000001,5780,295087.39686,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2021-06-01,Amortization,,,,,,,
autres depenses d'exploitation,149313,11181.625380000001,135445.12969,205973,415093.74150999996,470180.46736,20321.163869999997,33331.10758457386,1440839.235394574,Depenses d'exploitation,Depenses d'exploitation,Operating expenses,Operating expenses,2021-06-01,Other operating expenses,,,,,,,
benefice avant impots sur le revenu,449627.0017900001,-15373.514340000002,80897.91476091923,336199,592563.8997999795,1102226.6025999999,36680.44522000002,29381.892415426148,2612203.242246324,Benefice avant impots sur le revenu,Benefice avant impots sur le revenu,Profit before income tax,Profit before income tax,2021-06-01,Profit before income tax,,,,,,,
impots sur le revenu,0,0,24269.37442827577,39296,114500,91326.72475,9903.710820300026,9125,288420.80999857583,Impots sur le revenu,Impots sur le revenu,Income taxes,Income taxes,2021-06-01,Income taxes,,,,,,,
benefice net (perte nette),449627.0017900001,-15373.514340000002,56628.54033264346,296903,478063.8997999795,1010899.8778499998,26776.7343997,20256.892415426148,2323782.4322477486,Benefice net (perte nette),Benefice net (perte nette),Net profit (loss),Net profit (loss),2021-06-01,Net profit (loss),,,,,,,
prets,495302.80381,14882.627950000002,522361.9101,489425,1226521.93098,1113609.2177300001,201291.34887000007,17795,4081189.83944,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2019-09-01,Loans,,,,,,,
interets sur bons b.r.h.,34525,19191.61989,886.857140000001,0,3298,0,0,0,57901.47703,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2019-09-01,Interest on central bank bills,,,,,,,
autres,682046.2,23829.56431,6599.340400000001,26313,116425.14466999998,132556.03545000002,5536.6426999999985,3432,996737.92753,Revenus nets d'interet,Revenus d'interet,Net interest income,Interest income,2019-09-01,Other,,,,,,,
