Date,Banks,Indicator
2018-06-01,SOGEBL,74.0
2018-09-01,SOGEBL,74.0
2018-12-01,SOGEBL,74.0
2019-03-01,SOGEBL,74.0
2019-06-01,SOGEBL,74.0
2019-09-01,SOGEBL,75.0
2019-12-01,SOGEBL,72.0
2020-03-01,SOGEBL,74.0
2020-06-01,SOGEBL,73.0
2020-09-01,SOGEBL,71.0
2020-12-01,SOGEBL,75.0
2021-03-01,SOGEBL,78.0
2021-06-01,SOGEBL,79.0
2021-09-01,SOGEBL,77.0
2021-12-01,SOGEBL,78.0
2014-12-01,CBNA,32.0
2015-03-01,CBNA,34.0
2015-06-01,CBNA,37.0
2015-09-01,CBNA,38.0
2015-12-01,CBNA,38.0
2016-03-01,CBNA,36.0
2016-06-01,CBNA,36.0
2016-09-01,CBNA,37.0
2016-12-01,CBNA,35.0
2017-03-01,CBNA,34.0
2017-06-01,CBNA,33.0
2017-09-01,CBNA,31.0
2017-12-01,CBNA,31.0
2018-03-01,CBNA,31.0
2018-06-01,CBNA,30.0
2018-09-01,CBNA,32.0
2018-12-01,CBNA,31.0
2019-03-01,CBNA,29.0
2019-06-01,CBNA,28.0
2019-09-01,CBNA,29.0
2019-12-01,CBNA,29.0
2020-03-01,CBNA,28.0
2020-06-01,CBNA,28.0
2020-09-01,CBNA,26.0
2020-12-01,CBNA,25.0
2021-03-01,CBNA,26.0
2021-06-01,CBNA,27.0
2021-09-01,CBNA,24.0
2021-12-01,CBNA,25.0
2014-12-01,SCOTIA,85.0
2015-03-01,SCOTIA,86.0
2015-06-01,SCOTIA,86.0
2015-09-01,SCOTIA,88.0
2015-12-01,SCOTIA,90.0
2016-03-01,SCOTIA,88.0
2016-06-01,SCOTIA,90.0
2016-09-01,SCOTIA,91.0
2016-12-01,SCOTIA,88.0
2017-03-01,SCOTIA,0.0
2017-06-01,SCOTIA,0.0
2017-09-01,SCOTIA,0.0
2017-12-01,SCOTIA,0.0
2018-03-01,SCOTIA,0.0
2018-06-01,SCOTIA,0.0
2018-09-01,SCOTIA,0.0
2018-12-01,SCOTIA,0.0
2019-03-01,SCOTIA,0.0
2019-06-01,SCOTIA,0.0
2019-09-01,SCOTIA,0.0
2019-12-01,SCOTIA,0.0
2020-03-01,SCOTIA,0.0
2020-06-01,SCOTIA,0.0
2020-09-01,SCOTIA,0.0
2020-12-01,SCOTIA,0.0
2021-03-01,SCOTIA,0.0
2021-06-01,SCOTIA,0.0
2021-09-01,SCOTIA,0.0
2021-12-01,SCOTIA,0.0
2014-12-01,TOTAL,4288.0
2015-03-01,TOTAL,4311.0
2015-06-01,TOTAL,4337.0
2015-09-01,TOTAL,4377.0
2015-12-01,TOTAL,4521.0
2016-03-01,TOTAL,4525.0
2016-06-01,TOTAL,4549.0
2016-09-01,TOTAL,4594.0
2016-12-01,TOTAL,4676.0
2017-03-01,TOTAL,4681.0
2017-06-01,TOTAL,4673.0
2017-09-01,TOTAL,4734.0
2017-12-01,TOTAL,4713.0
2018-03-01,TOTAL,4777.0
2018-06-01,TOTAL,4791.0
2018-09-01,TOTAL,4786.0
2018-12-01,TOTAL,4795.0
2019-03-01,TOTAL,4745.0
2019-06-01,TOTAL,4776.0
2019-09-01,TOTAL,4793.0
2019-12-01,TOTAL,4851.0
2020-03-01,TOTAL,4843.0
2020-06-01,TOTAL,4770.0
2020-09-01,TOTAL,4858.0
2020-12-01,TOTAL,4779.0
2021-03-01,TOTAL,4851.0
2021-06-01,TOTAL,4864.0
2021-09-01,TOTAL,4784.0
2021-12-01,TOTAL,4755.0
1998-09-01,BICH,10.0
1998-12-01,BICH,10.0
1999-03-01,BICH,10.0
1999-06-01,BICH,10.0
1999-09-01,BICH,10.0
1999-12-01,BICH,9.0
2000-03-01,BICH,10.0
2000-06-01,BICH,10.0
2000-09-01,BICH,10.0
2000-12-01,BICH,11.0
2001-03-01,BICH,11.0
2001-06-01,BICH,10.0
2001-09-01,BICH,10.0
2001-12-01,BICH,10.0
2002-03-01,BICH,10.0
