Indicators,BNC  ,BPH,BUH,CAPITALBK,SOGEBK,UNIBNK,SOGEBL,CBNA,TOTAL,Parts1_fr,Parts2_fr,Parts1_en,Parts2_en,Date,SCOTIA,BICH,SOCABK,PROMOBK,SOCABL,BHD *,BHD 
DÉPÔTS_EN_USD_CONVERTIS_EN_HTG_depots_us_convertis,28840251.072280288,2657168.60872,15723987.843592647,18487266,61804803.15078137,82365052.3130812,4108356.97911,3168913,217155798.9675655,Dépôts en USD convertis en HTG,Dépôts en USD convertis en HTG,Deposit in US converted in HTG,Deposit in US converted in HTG,2019-12-01,,,,,,,
ACTIF_LIQUIDE_encaisse,4318049,293540.17509000003,1204198.3468017601,1023919,5180829.49403,3180126.2272822047,70576.45422,97877,15369115.697423965,Actif,Actif liquide,Asset,Liquid asset,2020-12-01,,,,,,,
ACTIF_LIQUIDE_avoirs_a_la_brh,25563296,1295392.53614,12093890.328258434,10005820,35180582.071940005,50484407.69790576,963290.8987499999,3183793,138770472.5329942,Actif,Actif liquide,Asset,Liquid asset,2020-12-01,,,,,,,
ACTIF_LIQUIDE_avoirs_a_l'etranger,2301664,0,935719.959600645,4412510,8292205.11576,11163275.75952845,0,701042,27806416.834889095,Actif,Actif liquide,Asset,Liquid asset,2020-12-01,,,,,,,
ACTIF_LIQUIDE_avoirs_dans_les_banques_locales,0,0,53134.82794637,12530,8978.31,0,462716.88632,0,537360.02426637,Actif,Actif liquide,Asset,Liquid asset,2020-12-01,,,,,,,
ACTIF_LIQUIDE_autres_liquidites,274583,47550.21082,4735.585006900001,138589,85389.44524,510792.882273153,15882.60759,61882,1139404.730930053,Actif,Actif liquide,Asset,Liquid asset,2020-12-01,,,,,,,
ACTIF_ILLIQUIDE_bons_b.r.h.,1200000,262000,0,0,5400000,0,0,0,6862000,Actif,Actif illiquide,Asset,Non-liquid asset,2020-12-01,,,,,,,
ACTIF_ILLIQUIDE_bons_du_tresor_/_m.e.f.,16575000,1353000,0,0,0,6150000,0,0,24078000,Actif,Actif illiquide,Asset,Non-liquid asset,2020-12-01,,,,,,,
ACTIF_ILLIQUIDE_autres_placements,10070479.599999998,0,3059206.855704175,3229027,13941268.914980002,23162173.45331397,987402.21257,0,54449558.03656814,Actif,Actif illiquide,Asset,Non-liquid asset,2020-12-01,,,,,,,
ACTIF_ILLIQUIDE_portefeuille_net,19549731.77216,187417.68650999997,12270296.6641153,8701248,32360495.203840006,31697850.02548,4268503.9781599995,357284,109392827.3302653,Actif,Actif illiquide,Asset,Non-liquid asset,2020-12-01,,,,,,,
ACTIF_ILLIQUIDE_immobilisations,2394600.1709399996,344651.1947,1021809.9788599999,817598,5033277.64147,2897608.3141799998,685748.53338,285472,13480765.83353,Actif,Actif illiquide,Asset,Non-liquid asset,2020-12-01,,,,,,,
ACTIF_ILLIQUIDE_autres_actifs,1962897,737976.45755,415341.37857113325,672526,4077962.95192,2367048.244026505,867207.40533,47561,11148520.437397638,Actif,Actif illiquide,Asset,Non-liquid asset,2020-12-01,,,,,,,
DÉPÔT_a_vue,31572908.477520335,1718615.2637500004,10869961.247670215,11144867,40933024.639821835,49337867.84780517,2039309.4687199998,3070934,150687487.94528756,Passif,Dépôt,Liability,Deposit,2020-12-01,,,,,,,
DÉPÔT_epargne,21803075,457332.06588,4806676.181605015,5191853,27353107.03479497,43191964.21237123,753572.6335700001,463865,104021445.12822121,Passif,Dépôt,Liability,Deposit,2020-12-01,,,,,,,
DÉPÔT_a_terme,10521382,1508405.3519000001,8711242.997247435,6566345,17223153.080456473,19131711.935983494,2250339.8013400002,4258,65916838.1669274,Passif,Dépôt,Liability,Deposit,2020-12-01,,,,,,,
OBLIGATIONS_À_VUE_banques_locales,0,0,0,150000,0,0,0,0,150000,Passif,Obligations à vue,Liability,Demand bonds,2020-12-01,,,,,,,
OBLIGATIONS_À_VUE_banques_a_l'etranger,0,0,0,0,0,0,0,0,0,Passif,Obligations à vue,Liability,Demand bonds,2020-12-01,,,,,,,
OBLIGATIONS_À_VUE_autres,2210533,208045.22211000003,1212291.2275815401,1049497,6147337.6683600005,3375855.825249342,159132.8644999999,648169,15010861.807800882,Passif,Obligations à vue,Liability,Demand bonds,2020-12-01,,,,,,,
OBLIGATIONS_À_TERME_banques_locales,4223247,0,1989035.02215,610759,4996045.17184,2733683.2041499997,1753987.78661,0,16306757.184749998,Passif,Obligations à terme,Liability,Term bonds,2020-12-01,,,,,,,
OBLIGATIONS_À_TERME_banque_a_l'etranger,0,0,0,0,471.13302000000004,0,0,0,471.13302000000004,Passif,Obligations à terme,Liability,Term bonds,2020-12-01,,,,,,,
